Nama Pencari,Provinsi Gunung,Nama Gunung,Tinggi (mdpl),Deskripsi,Foto (url)
Raydzan,Jawa Timur,Semeru,3676,"Stratovolkano aktif dengan kawah Jonggring Saloka dan lanskap savana–danau (Ranu Kumbolo). Jalur populer via Ranu Pani, 2–3 hari, tanjakan pasir menuju puncak Mahameru cukup berat dan berangin; butuh fisik prima dan pantau status aktivitas.",https://images.unsplash.com/photo-1605860632725-fa88d0ce7a07?fm=jpg&q=60&w=3000&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8OHx8c2VtZXJ1fGVufDB8fDB8fHww
,Jawa Timur,Raung,3344,"Punya kaldera kering raksasa dan punggungan sempit yang dramatis. Trek terkenal teknis–terjal, banyak tebing dan batuan tajam; cocok pendaki berpengalaman dengan perlengkapan lengkap. Pemandangan kawah 360° sangat ikonik.",https://asset.kompas.com/crops/jtAjMVjuL444PWjQh8fx6l1LJL4=/0x0:1000x667/750x500/data/photo/2022/07/28/62e249a822a68.jpg
,Jawa Timur,Arjuno,3339,Gunung hutan pegunungan yang berdampingan dengan Welirang. Jalur Tretes/ Lawang/Batu cenderung panjang tapi tidak terlalu teknis; 2–3 hari dengan kemah di pos tinggi. Puncak Ogal-Agil menyajikan panorama pegunungan Jawa Timur.,https://backend.adventuraja.com/gallery/623966ae317f5926664e6c92/Gunung%20Welirang%208.jpg
,Jawa Timur,Welirang,3156,"Volkano aktif dengan solfatara dan tambang belerang tradisional. Rute via Tretes melewati hutan dan jalan makadam; medan panjang berbatu, gas belerang jadi tantangan. Sering digabung “double summit” Arjuno-Welirang.",Arjuno dan welirang hampir sama beda tinggi aja
,Jawa Timur,Argopuro,3088,"Trek lintas gunung terpanjang di Jawa: hutan–savana Cikasur–Danau Taman Hidup. Elevasi ramah, tetapi jarak dan ketersediaan air menuntut logistik matang (4–5 hari). Puncaknya bersejarah dengan situs Rengganis.",https://picture.triptrus.com/image/2014/06/gunung-argopuro.jpeg 
,Jawa Timur,Ijen,2769,"Terkenal danau kawah toska dan fenomena api biru. Pendakian dari Paltuding ±3 km menanjak relatif singkat, cocok pemula, tetapi wajib masker karena gas belerang. Sunrise dari bibir kawah spektakuler.",https://i.pinimg.com/736x/cf/ab/36/cfab36cd6e902090b32d4b67081ba85e.jpg
,Jawa Timur,Kawi-Butak,2651,"Kompleks pegunungan tua; hutan lebat dan padang rumput puncak yang luas. Jalur Paderman/Sirah Kencong medannya menengah: panjang, banyak percabangan, navigasi perlu cermat. View Arjuno-Welirang dan Malang dari puncak.",https://datagunung.com/images/mobile-Kawi-Butak.webp
,Jawa Timur,Ranti,2601,"Satu punggungan di kompleks Ijen sering disebut “negeri di atas awan”. Start dekat Paltuding; jalur lebih curam dan berpasir daripada Ijen, 3–5 jam ke puncak. Bonus panorama Kawah Ijen dan Raung.",https://datagunung.com/images/mobile-Ranti.webp
,Jawa Timur,Wilis,2563,"Gunung berapi tua (Puncak Liman) yang sepi pendaki. Banyak opsi jalur (Kediri, Madiun, Nganjuk) dengan trek hutan panjang dan minim penunjuk; 2–3 hari. Pemandangan terbuka terbatas namun alamnya masih perawan.",https://assets.pikiran-rakyat.com/crop/0x0:0x0/1200x675/webp/photo/2020/12/12/1549717195.jpg
,Sulawesi Selatan,Latimojong,3478,"Tertinggi di Sulawesi; bukan vulkanik. Trek hutan montana via Karangan 7 pos, licin saat hujan, butuh 3H2M. Puncak memberi horizon pegunungan Sulawesi yang luas.",https://media.zcreators.id/crop/0x0:0x0/x/photo/p2/44/2023/08/21/FotoJet-2023-08-21T132547008-295947498.jpg
